datos a fecha 2021-0-12_12-53

nombre | ultimo | diferencial | maximo | minimo | volumen | efectivo | fecha | hora


ACCIONA | 126,6000 | 1,61 | 127,0000 | 125,0000 | 51.940 | 6.548,01 | 12/01/2021 | 12:36:28
ACERINOX | 9,7560 | 0,54 | 9,8040 | 9,7140 | 132.574 | 1.295,20 | 12/01/2021 | 12:36:08
ACS | 28,7100 | 2,06 | 28,7600 | 28,1000 | 234.253 | 6.657,14 | 12/01/2021 | 12:38:15
AENA | 139,7000 | 0,58 | 140,3000 | 138,8000 | 33.395 | 4.660,95 | 12/01/2021 | 12:36:19
ALMIRALL | 11,7800 | 1,29 | 11,8900 | 11,6600 | 241.153 | 2.840,07 | 12/01/2021 | 12:37:27
AMADEUS | 56,8400 | 1,07 | 57,3800 | 56,5000 | 734.610 | 41.865,16 | 12/01/2021 | 12:38:15
ARCELORMIT. | 20,4200 | 1,39 | 20,5000 | 20,1900 | 139.866 | 2.848,50 | 12/01/2021 | 12:34:45
B.SANTANDER | 2,8575 | 1,69 | 2,8660 | 2,8285 | 18.844.639 | 53.626,50 | 12/01/2021 | 12:38:15
BA.SABADELL | 0,4173 | 5,67 | 0,4179 | 0,3988 | 29.760.553 | 12.219,36 | 12/01/2021 | 12:38:15
BANKIA | 1,6205 | 3,22 | 1,6215 | 1,5760 | 994.093 | 1.597,43 | 12/01/2021 | 12:35:33
BANKINTER | 4,9510 | 0,45 | 4,9820 | 4,9120 | 435.118 | 2.154,25 | 12/01/2021 | 12:38:15
BBVA | 4,2820 | 0,73 | 4,2950 | 4,2470 | 4.800.332 | 20.499,51 | 12/01/2021 | 12:38:17
CAIXABANK | 2,3780 | 3,57 | 2,3810 | 2,3130 | 5.022.670 | 11.809,27 | 12/01/2021 | 12:38:14
CIE AUTOMOT. | 22,0600 | 1,38 | 22,0600 | 21,7800 | 39.397 | 865,18 | 12/01/2021 | 12:38:14
FERROVIAL | 21,8100 | 0,60 | 21,8800 | 21,6000 | 189.689 | 4.123,38 | 12/01/2021 | 12:37:10
GRIFOLS CL.A | 24,0500 | 1,78 | 24,1700 | 23,6400 | 202.938 | 4.862,60 | 12/01/2021 | 12:38:19
IAG | 1,7580 | 3,41 | 1,7595 | 1,7120 | 7.125.327 | 12.389,36 | 12/01/2021 | 12:37:57
INDITEX | 26,3600 | 0,53 | 26,5500 | 26,2900 | 426.044 | 11.255,16 | 12/01/2021 | 12:36:01
INDRA A | 7,1800 | 1,13 | 7,2000 | 7,0900 | 244.514 | 1.748,84 | 12/01/2021 | 12:36:50
INM.COLONIAL | 7,8800 | 0,83 | 7,9000 | 7,7700 | 53.347 | 418,23 | 12/01/2021 | 12:36:59
MAPFRE | 1,6550 | 1,47 | 1,6580 | 1,6350 | 1.117.266 | 1.844,01 | 12/01/2021 | 12:36:20
MELIA HOTELS | 5,6550 | 2,82 | 5,6750 | 5,5450 | 315.006 | 1.776,26 | 12/01/2021 | 12:36:41
MERLIN | 7,6200 | 0,07 | 7,6400 | 7,5600 | 149.528 | 1.136,41 | 12/01/2021 | 12:35:17
NATURGY | 20,6800 | 2,63 | 20,6800 | 20,1300 | 245.839 | 5.019,82 | 12/01/2021 | 12:37:15
REPSOL | 8,8200 | 2,13 | 8,8460 | 8,6800 | 2.290.762 | 20.085,24 | 12/01/2021 | 12:38:14
TELEFONICA | 3,6090 | 1,55 | 3,6170 | 3,5630 | 3.245.862 | 11.663,98 | 12/01/2021 | 12:38:14
